Objects /Attributes,Year=2002/2008,Year= 2009/2013,Year=2014/2018,Year=2019/2023,FWK/Pattern=Support (CI),FWK/Pattern=Support (FI),FWK/Pattern=Support (MFI),FWK/Pattern=Uncertain (EFI),FWK/Pattern=Uncertain (PFI),FWK/Pattern=Utility (HAUI),FWK/Pattern=Utility (HUI),Approach=Apriori,Approach=FP-Growth,Approach=Hybrid,Approach=Other,Window=Decay,Window=Landmark,Window=Titled,Window=FsW/TimeSW,Window=FsW/TransSW,Window=VsW/TransSW,Accuracy = Approximative,Accuracy = False-Negative,Accuracy = False-Positive,Accuracy = Exact,Citation=Très bas [0-10],Citation=Bas [11-20],Citation=Moyen[21-200],Citation=Haut [201-500],Citation=Très haut >500
Lossy Counting,1,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,,,1
FP-Stream,1,,,,,1,,,,,,,1,,,,,1,,,,,,1,,,,,,1
estDec,1,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,,1,
FDPM,1,,,,,1,,,,,,1,,,,,1,,,,,,1,,,,,,1,
DSM-FI,1,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,1,,
INSTANT,1,,,,,,1,,,,,1,,,,,1,,,,,,,,1,,,1,,
FUFP-Tree,1,,,,,1,,,,,,1,,,,,1,,,,,,,,1,,,,1,
Pre-FUFP,,1,,,,1,,,,,,1,,,,1,,,,,,,,,1,,,1,,
estMax,,1,,,,,1,,,,,1,,,,1,,,,,,,,1,,,,1,,
CLICI,,1,,,1,,,,,,,,,,1,1,,,,,,,,1,,,,1,,
TUF-Streaming,,1,,,,,,1,,,,,1,,,,1,,,,,,,1,,,,1,,
GUIDE,,1,,,,,,,,,1,,,,1,,1,,,,,1,,,,,,1,,
FUP-HU,,1,,,,,,,,,1,1,,,,,1,,,,,,,,1,,,1,,
UHS-Stream,,1,,,,,,1,,,,,1,,,1,,,,,,,,1,,,,1,,
TFUHS-Stream,,1,,,,,,1,,,,,1,,,,1,,,,,,,1,,,,1,,
Pre-HUI,,,1,,,,,,,,1,1,,,,,1,,,,,,,,1,,,1,,
HUPID,,,1,,,,,,,,1,,1,,,,1,,,,,,,,1,,,1,,
HUI-LIST-INS,,,1,,,,,,,,1,,,1,,1,,,,,,,,,1,,,1,,
GENHUI,,,1,,,,,,,,1,,1,,,1,,,,,,,,,1,,,1,,
FCIMining,,,1,,1,,,,,,,,1,,,,1,,,,,,,1,,,1,,,
TDUP,,,1,,,1,,,,,,1,,,,,1,,,,,,,1,,,,1,,
LIHUP,,,1,,,,,,,,1,,,1,,,1,,,,,,,,1,,,1,,
IMHAUI,,,1,,,,,,,1,,,1,,,1,,,,,,,,,1,,1,,,
MPM,,,1,,,,,,,1,,,1,,,,1,,,,,,,,1,,,1,,
PIHUP,,,1,,,,,,,,1,1,,,,,1,,,,,,,,1,,1,,,
IIHUM,,,,1,,,,,,,1,,,1,,,,,,1,,,,,1,,1,,,
Moment,1,,,,1,,,,,,,,1,,,,,,,1,,,,,1,,,,1,
SWM,1,,,,,1,,,,,,1,,,,,,,1,,,,,1,,,,1,,
PFP,1,,,,,1,,,,,,,,,1,,,,,1,,1,,,,,,1,,
DSTree,1,,,,,1,,,,,,,1,,,,,,,1,,,,,1,,,,1,
CFI-Stream,1,,,,1,,,,,,,,1,,,,,,,1,,,,,1,,,1,,
THUI-Mine,1,,,,,,,,,,1,1,,,,,,,,1,,,,,1,,,1,,
MHUI,1,,,,,,,,,,1,,,1,,,,,,1,,,,,1,,,1,,
SWIM,1,,,,,1,,,,,,,,,1,,,,1,,,,,,1,,,1,,
Inemine,1,,,,1,,,,,,,1,,,,,,,,1,,,,1,,,,1,,
NewMoment,,1,,,1,,,,,,,,1,,,,,,,1,,,,,1,,,1,,
CPS-tree,,1,,,,1,,,,,,,1,,,,,,,1,,,,,1,,,1,,
IHUP,,1,,,,,,,,,1,,1,,,,,,,1,,,,,1,,,,,1
MFI-TransSw,,1,,,,1,,,,,,,,1,,,,,1,,,,,,1,,,,1,
MFI-TimeSW,,1,,,,1,,,,,,,,1,,,,,,,1,,,,1,,,,1,
UF-Streaming,,1,,,,,,1,,,,,1,,,,,,,,1,,,1,,,,1,,
Clostream,,1,,,,,,1,,,,,1,,,,,,,1,,,,,1,,,1,,
SUF-Growth,,1,,,,1,,,,,,,,,1,,,,,,1,,,,1,,,1,,
FCDT,,1,,,1,,,,,,,1,,,,,,,,1,,,,1,,,1,,,
VSW,,1,,,,1,,,,,,,,,1,,,,,1,,,,,1,,,1,,
SWP-Tree,,1,,,,1,,,,,,,1,,,,,,,1,,,,1,,,,1,,
LDS,,1,,,,1,,,,,,,,1,,,,,,1,,,,,1,,,1,,
MAX-FISM,,1,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,1,,
StreamFCI,,1,,,1,,,,,,,,1,,,,,,,1,,,,,1,,1,,,
Tmoment,,1,,,1,,,,,,,,1,,,,,,,1,,,,,1,,,1,,
pWIn,,1,,,,1,,,,,,1,,,,,,,,1,,1,,,,,1,,,
FEMP,,1,,,,,,,1,,,,,,1,,,,,1,,,,,1,1,,,,
UDS-FIM,,,1,,,,,1,,,,,1,,,,,,,1,,,,,1,1,,,,
SHU-Growth,,,1,,,,,,,,1,,1,,,,,,,1,,,,,1,,,1,,
SHAU,,,1,,,,,,,1,,,1,,,,,,,1,,,,,1,,1,,,
PFIMoS,,,1,,,,,,1,,,,1,,,,,,,1,,,,,1,,1,,,
ConPatSet,,,1,,1,,,,,,,1,,,,,,,,1,,,,,1,1,,,,
RMFIsM,,,,1,,,1,,,,,,,,1,,,,,1,,,,,1,1,,,,